Part,PartDesc,Family,Compart,CompartSize,Volume,Volume2,ProdIDM,ProdODM,BASELID,CasePack,CaseWeight,Application,Markets,Features
SLP28,"Clamshell, featuring a barlock, with 2 compartments, in a rectangularfootprint",https://www.inlineplastics.com/product_line/surelock/,2,2 (3 13/16 X 3 5/8 X 2 1/8),,"33.8,1000",9.7 X 9.2 X 5.4,22.4 X 12.5 X 5.9,60/40,300,16.8,"Cookies & Donuts,Deli,Muffins & Cupcakes,Produce,Snacks","Bakery,Food Service,Processor,Supermarket",
SLP280FS,"Clamshell, featuring a barlock, 92oz, with shelf support in a square,  7.75 x 8.07 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",91.3,"7 ,⁄,8 ,⁄,3 ,⁄,19.7 X 20.5 X 8.1",21.6 X 23.3 X 8.3,,,180,22.9,"Cookies & Donuts,Danish & Loafcakes","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP281FS,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,2,2 (3 1/4 X 8 1/16 X 3 3/16),,"84.8,2508",8.3 X 20.5 X 8.1,21.6 X 23.3 X 8.3,80/20,180,22.9,Cookies & Donuts,"Bakery,Food Service,Processor,Supermarket",
SLP29,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",36.2,"6 ,⁄,4 ,⁄,2 ,⁄,15.9 X 12.4 X 5.7",17.6 X 15.1 X 6.4,,,300,18.9,"Cookies & Donuts,Produce,Snacks","Bakery,Food Service,Processor,Supermarket",
SLP30,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",52.8,"8 ,⁄,5 ,⁄,2 ,⁄,22.2 X 14.6 X 5.2",23.8 X 17.1 X 5.6,,,300,20.8,"Cookies & Donuts,Muffins & Cupcakes,Produce,Snacks","Bakery,Food Service,Processor,Supermarket",SLPF30H
SLP309,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",76.8,"9 ,⁄,9 ,⁄,2 ,⁄,23.2 X 23.7 X 5.7",25.1 X 26.2 X 6.0,,,200,27.7,"Cakes,Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP30S,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",47.7,"8 ,⁄,5 ,⁄,1 ,⁄,22.2 X 14.6 X 4.6",23.8 X 17.1 X 5.2,,,300,20.8,"Cookies & Donuts,Muffins & Cupcakes","Bakery,Food Service,Processor,Supermarket",
SLP30XS,"Clamshell, featuring a barlock, 45oz, rectangular footprint, 8.75 x 5.75 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",44.5,"8 ,⁄,5 ,⁄,1 ,⁄,22.2 X 14.6 X 4.0",23.8 X 17.1 X 4.6,,,300,20.8,"Cookies & Donuts,Muffins & Cupcakes","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP32,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",62.6,"8 ,⁄,5 ,⁄,2 ,⁄,21.4 X 13.7 X 6.2",24.1 X 17.3 X 6.7,,,300,20.8,"Cookies & Donuts,Danish & Loafcakes,Snacks","Bakery,Food Service,Processor,Supermarket",
SLP3315,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,3,3 (2 1/2 X 5 5/16 X 2 3/16,,"43.3,1281",21.7 X 16.5 X 5.7,21.7 X 16.5 X 5.7,65/35,264,19.4,Cookies & Donuts,"Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP3315CS,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,3,3 (2 1/2 X 5 5/16 X 2 3/16),,"43.3,1281",21.7 X 16.5 X 5.7,21.7 X 16.5 X 5.7,65/35,240,22.8,Cookies & Donuts,"Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP34,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,12,12 (1 5/8 X 1 13/16 X 2 1/8),,"51.1,1511",4.1 X 4.6 X 5.4,22.1 X 18.1 X 5.7,50/50,250,18.7,Muffins & Cupcakes,"Bakery,Food Service,Processor,Supermarket",
SLP34DFC,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",69.3,"5 ,⁄,8 ,⁄,3,13.7 X 20.6 X 7.6",22.5 X 18.3 X 7.8,,,250,26.1,Cookies & Donuts,"Bakery,Food Service,Processor,Supermarket",
SLP34S,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,12,12(1 5/8 X 1 13/16 X 1 3/4),,"42.3,1251",4.1 X 4.6 X 4.4,22.1 X 18.1 X 4.9,60/40,250,18.7,Muffins & Cupcakes,"Bakery,Food Service,Processor,Supermarket",
SLP35,"Clamshell, featuring a barlock, 60oz, rectangular footprint, 8.32 x 4.94 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",59.9,"8 ,⁄,4 ,⁄,3 ,⁄,21.1 X 12.5 X 8.3",22.5 X 13.5 X 8.6,,,500,30.3,"Cookies & Donuts,Danish & Loafcakes,Produce,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",
SLP36,"Clamshell, featuring a barlock, with 6 compartments, in a rectangular footprint",https://www.inlineplastics.com/product_line/surelock/,6,6(2 1/8 X 2 9/16 X 2 5/16),,"50.4,1491",5.4 X 6.5 X 5.9,23.8 X 17.1 X 6.0,60/40,300,24.4,Muffins & Cupcakes,"Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP40,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",74.7,"8 ,⁄,5 ,⁄,2 ,⁄,22.2 X 14.6 X 7.5",23.8 X 17.1 X 7.8,,,276,22.6,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP40S,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",67,"8 ,⁄,5 ,⁄,2 ,⁄,22.2 X 14.6 X 6.5",23.8 X 17.1 X 6.8,,,300,26.3,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",
SLP44SA,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,4,4 (2 1/8 X 2 1/2 X 2 9/16),,"38.5,1139",5.4 X 6.4 X 6.5,17.0 X 17.0 X 7.0,55/45,288,16.9,"Danish & Loafcakes,Muffins & Cupcakes,Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
SLP44A,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,4,4 (2 1/8 X 2 1/2 X 3 1/4),,"48,1420",5.4 X 6.4 X 8.3,17.0 X 17.0 X 8.4,50/50,288,16.9,"Danish & Loafcakes,Muffins & Cupcakes,Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP45,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,4,4 (2 1/8 X 2 1/2 X 3 3/16),,"63.9,1890",5.4 X 6.4 X 8.1,19.4 X 20.5 X 8.3,50/50,300,25.4,"Danish & Loafcakes,Muffins & Cupcakes,Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
SLP46,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,6,6 (2 1/8 X 2 1/2 X 2 3/4),,"60.9,1801",5.4 X 6.4 X 7.0,23.8 X 17.1 X 7.3,50/50,300,22.6,"Danish & Loafcakes,Muffins & Cupcakes,Pies, Tarts + Quiche","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP510,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",120.4,"8 ,⁄,8 ,⁄,3 ,⁄,21.6 X 21.6 X 8.7",22.9 X 24.1 X 8.9,,,200,27.5,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP5120,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",73.7,"7 ,⁄,6 ,⁄,2 ,⁄,19.5 X 17.5 X 7.1",21.0 X 19.5 X 7.5,,,250,22.2,"Cookies & Donuts,Deli,Muffins & Cupcakes,Produce,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",
SLP5120CS,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",70,"7 ,⁄,6 ,⁄,2 ,⁄,19.5 X 17.5 X 7.1",21.0 X 19.5 X 7.5,,,250,23.8,"Cookies & Donuts,Muffins & Cupcakes,Produce","Bakery,Food Service,Processor,Supermarket",
SLP5125,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",44.6,"7 ,⁄,6 ,⁄,1 ,⁄,19.5 X 17.0 X 4.4",21.0 X 19.5 X 4.8,,,250,22.2,Cookies & Donuts,"Bakery,Food Service,Processor,Supermarket",
SLP52,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,2,2 (2 9/16 X 3 1/8 X 3 5/16),,"45.6,1349",6.5 X 7.9 X 8.4,22.5 X 13.5 X 8.6,50/50,500,34.9,Muffins & Cupcakes,"Bakery,Food Service,Processor,Supermarket",
SLP53,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",97.3,"10 ,⁄,5 ,⁄,3 ,⁄,26.0 X 14.3 X 8.6",27.6 X 16.8 X 8.9,,,300,33.7,Cookies & Donuts,"Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP54P,"Clamshell, featuring a barlock, with 4 compartments, in a square footprint",https://www.inlineplastics.com/product_line/surelock/,4,4 (2 9/16 X 3 1/8 X 3 1/8),,"64.2,1899",6.5 X 7.9 X 7.9,19.4 X 20.5 X 8.3,50/50,300,25.4,"Cakes,Muffins & Cupcakes","Bakery,Food Service,Processor,Supermarket",
SLP54SP,"Clamshell, featuring a barlock, with 4 compartments, in a square footprint",https://www.inlineplastics.com/product_line/surelock/,4,4 (2 9/16 X 3 1/8 X 2 3/4),,"59.2,1751",6.5 X 7.9 X 7.0,19.4 X 20.5 X 7.6,60/40,300,23.7,Muffins & Cupcakes,"Bakery,Food Service,Processor,Supermarket",
SLP57,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",175.9,"9 ,⁄,7 ,⁄,2 ,⁄,24.9 X 18.3 X 5.9",27.0 X 21.1 X 6.7,,,300,33.2,"Cakes,Cookies & Donuts,Danish & Loafcakes","Bakery,Food Service,Processor,Supermarket",
SLP58,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",84.5,"10 ,⁄,7,2 ,⁄,27.6 X 17.8 X 5.2",29.2 X 20.3 X 5.7,,,200,27.1,"Cookies & Donuts,Danish & Loafcakes","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP65,"Clamshell, featuring a barlock, 61oz, rectangular footprint, 11.38 x 3.94 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",60.9,"11 ,⁄,3 ,⁄,2 ,⁄,28.9 X 10.0 X 6.4",31.1 X 13.0 X 6.7,,,250,21.7,"Cookies & Donuts,Danish & Loafcakes","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP663,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,3,3 (3 1/8 X 6 1/8 X 2 15/16),,"87.2,2579",7.9 X 15.6 X 7.5,28.3 X 21.7 X 7.6,60/40,212,38.8,Cookies & Donuts,"Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP70,"Clamshell, featuring a barlock, 102oz, square footprint, 7.69 x 7.63 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",101.4,"7 ,⁄,7 ,⁄,3 ,⁄,19.5 X 19.4 X 8.6",21.0 X 22.2 X 8.9,,,200,20.2,"Cookies & Donuts,Danish & Loafcakes,Deli,Muffins & Cupcakes,Produce,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",
SLP69,"Clamshell, featuring a barlock, 44oz, square footprint, 5.63 x 5.32 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",43.3,"5 ,⁄,5 ,⁄,3,14.3 X 13.5 X 7.6",15.7 X 16.0 X 8.1,,,300,17.4,"Cookies & Donuts,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",
SLP70W,"Clamshell, featuring a barlock, 87oz, square footprint, 7.69 x 7.63 single compartment",https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",86.9,"7 ,⁄,7 ,⁄,3 ,⁄,19.5 X 19.4 X 8.7",21.0 X 22.2 X 8.9,,,170,24.3,"Cookies & Donuts,Danish & Loafcakes,Deli,Muffins & Cupcakes,Produce,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",
SLP70H,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,n/a,"

                                            ",101.4,"7 ,⁄,7 ,⁄,3 ,⁄,19.5 X 19.4 X 8.6",21.0 X 22.2 X 8.9,,,184,21.3,,,
SLP72D,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,4,4 (2 7/8 X 3 3/8 X 2 9/16),,"54.4,1609",7.3 X 8.6 X 6.5,19.4 X 20.5 X 7.1,50/50,210,19.4,Muffins & Cupcakes,"Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP74,"Clamshell, featuring a barlock, with 4 compartments in a square   footprint",https://www.inlineplastics.com/product_line/surelock/,4,4 (2 9/16 X 3 1/8 X 3),,"76.1,2251",6.5 X 7.9 X 7.6,21.0 X 22.2 X 7.9,55/45,300,25.7,Muffins & Cupcakes,"Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
SLP77,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",121.7,"11 ,⁄,7 ,⁄,2 ,⁄,29.4 X 19.7 X 6.8",31.0 X 22.2 X 7.0,,,150,23.8,Muffins & Cupcakes,"Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP82,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",96,"10 ,⁄,6 ,⁄,2 ,⁄,25.7 X 17.1 X 6.8",27.3 X 19.7 X 7.5,,,300,36.6,"Cookies & Donuts,Danish & Loafcakes,Deli,Muffins & Cupcakes,Produce,Salads & Sandwiches","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP88,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",194,"10 ,⁄,8 ,⁄,4 ,⁄,25.9 X 22.2 X 10.8",27.5 X 24.9 X 11.1,,,200,31.1,"Cookies & Donuts,Produce","Bakery,Food Service,Processor,Supermarket",
SLP88S,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",139.3,"10 ,⁄,8 ,⁄,3 ,⁄,25.9 X 22.2 X 8.1",27.5 X 24.9 X 8.4,,,200,31.1,"Cookies & Donuts,Produce","Bakery,Food Service,Processor,Supermarket",
SLP90,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",89.6,"12 ,⁄,5 ,⁄,2 ,⁄,32.2 X 14.1 X 5.9",33.8 X 17.0 X 6.4,,,200,23,"Cookies & Donuts,Danish & Loafcakes,Produce","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SLP95,Essentials Surelock® is a family of 200+ items designed for a wide variety of applications,https://www.inlineplastics.com/product_line/surelock/,1,"

                                            ",101.4,"12 ,⁄,5 ,⁄,2 ,⁄,32.2 X 14.1 X 6.4",33.8 X 17.0 X 7.0,,,200,24.7,"Cookies & Donuts,Danish & Loafcakes,Produce","Bakery,Food Service,Processor,Supermarket",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TS112V,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",112,"11 ,⁄,6 ,⁄,3,29.2 X 17.3 X 7.6",31.8 X 20.2 X 8.6,,,60,15.7,"Produce,Salads & Sandwiches","Food Service,Processor,Supermarket","Channel Vents,Tamper Evident"
TS11CCRJT,"Safe-T-Fresh® SnackCups is a family of 7+ items available in vented, dome and shallow lid",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",10.5,"3 ,⁄,3 ,⁄,3 ,⁄,8.9 X 8.9 X 7.9",11.1 X 11.3 X 8.1,,,256,10,"Produce,Snacks","C-Store,Food Service,Processor,Supermarket","Microvents,Tamper Evident"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TS12,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",12,"3 ,⁄,4 ,⁄,1 ,⁄,9.5 X 11.1 X 4.4",12.4 X 14.6 X 5.1,,,240,10.4,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS128V,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",128,"11 ,⁄,6 ,⁄,4 ,⁄,29.1 X 17.1 X 10.3",31.8 X 20.2 X 11.1,,,60,15.7,"Produce,Salads & Sandwiches","Bakery,C-Store,Food Service,Processor,Supermarket","Channel Vents,Tamper Evident"
TS12CCQ,"Tamper evident & tamper resistant clamshell, 12oz square top cup, with round base",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",12,"3 ,⁄,3 ,⁄,3 ,⁄,8.9 X 8.9 X 8.4",11.1 X 11.4 X 8.9,,,232,11.1,"Cakes,Cookies & Donuts,Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS12CCR,"Safe-T-Fresh® SnackCups is a family of 7+ items available in vented, dome and shallow lid",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",12,"3 ,⁄,3 ,⁄,3 ,⁄,8.9 X 8.9 X 8.7",11.1 X 11.3 X 8.9,,,256,10,"Cakes,Cookies & Donuts,Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS12CCRDV,"Tamper evident & tamper resistant clamshell, 12oz vented cup with dome lid",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",12,"3 ,⁄,3 ,⁄,4 ,⁄,8.9 X 8.9 X 11.1",11.1 X 11.3 X 11.3,,,256,10,"Cookies & Donuts,Produce,Snacks","C-Store,Food Service,Processor,Supermarket","Microvents,Tamper Evident"
TS12CCRV,"Tamper evident & tamper resistant clamshell, 12oz vented cup",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",12,"3 ,⁄,3 ,⁄,3 ,⁄,8.9 X 8.9 X 8.7",11.1 X 11.3 X 8.9,,,256,10.8,"Cookies & Donuts,Produce,Snacks","C-Store,Food Service,Processor,Supermarket","Microvents,Tamper Evident"
TS12CCRD,"Safe-T-Fresh® SnackCups is a family of 7+ items available in vented, dome and shallow lid",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",12,"3 ,⁄,3 ,⁄,4 ,⁄,8.9 X 8.9 X 11.1",11.1 X 11.3 X 11.3,,,256,10,"Cookies & Donuts,Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS12PW,A family of 10 items available in 8 oz - 64 oz sizes with flat and dome lids,https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",12,"4 ,⁄,4 ,⁄,2 ,⁄,11.6 X 11.6 X 5.4",15.1 X 14.6 X 5.7,,,168,10.4,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TS12RN,"Tamper evident & tamper resistant clamshell, 12oz bowl",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",12,"4 ,⁄,4 ,⁄,2 ,⁄,11.9 X 11.9 X 5.9",14.9 X 14.6 X 6.5,,,240,11.9,"Cookies & Donuts,Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS12RNV,"A family of 20+ items available in vented, shallow and dome lids",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",12,"4 ,⁄,4 ,⁄,2 ,⁄,11.9 X 11.9 X 5.9",14.9 X 14.6 X 6.5,,,240,11.9,"Cookies & Donuts,Produce,Snacks","C-Store,Food Service,Processor,Supermarket","Microvents,Tamper Evident"
TS16,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",16,"3 ,⁄,4 ,⁄,2 ,⁄,9.5 X 11.1 X 5.7",12.4 X 14.6 X 6.7,,,240,11.5,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
TS16C2,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,2,Compartment sizes: 1 (2.73 x 4.37 x 1.47) 1 (3.49 x 4.37 x 1.47),,"16,473",15.9 X 11.1 X 3.7,18.7 X 14.3 X 4.6,100/0,200,17.4,"Cookies & Donuts,Deli,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS16CCR,"Tamper evident & tamper resistant clamshell, 16oz cup",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",16,"3 ,⁄,3 ,⁄,4 ,⁄,8.9 X 8.9 X 11.1",11.1 X 11.3 X 11.3,,,232,11.9,"Cakes,Cookies & Donuts,Produce,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
TS16CCRD,"Tamper evident & tamper resistant clamshell, 16oz cup with a dome lid",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",16,"3 ,⁄,3 ,⁄,5 ,⁄,8.9 X 8.9 X 13.7",11.1 X 11.3 X 13.8,,,232,11.9,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS16CCRDV,"Tamper evident & tamper resistant clamshell, 16oz vented cup with a dome lid",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",16,"3 ,⁄,3 ,⁄,5 ,⁄,8.9 X 8.9 X 13.7",11.1 X 11.3 X 13.8,,,232,11.9,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","C-Store,Food Service,Processor,Supermarket","Microvents,Tamper Evident"
TS16CCRV,"Tamper evident & tamper resistant clamshell, 16oz vented cup",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",16,"3 ,⁄,3 ,⁄,4 ,⁄,8.9 X 8.9 X 11.1",11.1 X 11.3 X 11.3,,,232,11.9,"Cookies & Donuts,Produce,Snacks","C-Store,Food Service,Processor,Supermarket","Microvents,Tamper Evident"
TS16PW,A family of 10 items available in 8 oz - 64 oz sizes with flat and dome lids,https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",16,"4 ,⁄,4 ,⁄,2 ,⁄,11.6 X 11.6 X 6.5",15.1 X 14.6 X 6.8,,,164,11.6,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS16PWS,A family of 10 items available in 8 oz - 64 oz sizes with flat and dome lids,https://www.inlineplastics.com/product_line/squares/,1,"

                                            ",16,"6 ,⁄,6 ,⁄,1 ,⁄,16.0 X 16.0 X 4.8",19.5 X 19.1 X 5.1,,,174,16.7,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS16RN,"Tamper evident & tamper resistant clamshell, 16oz bowl",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",16,"4 ,⁄,4 ,⁄,2 ,⁄,11.9 X 11.9 X 7.3",14.9 X 14.6 X 7.9,,,240,13.1,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
TS17VT,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",17,"3 ,⁄,5 ,⁄,1 ,⁄,9.5 X 13.3 X 4.9",11.4 X 16.8 X 5.1,,,320,14.6,"Produce,Snacks","Bakery,C-Store,Food Service,Processor,Supermarket","Hangable,Narrow Vents,Tamper Evident"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TS18RN,"Tamper evident & tamper resistant clamshell, 18oz bowl",https://www.inlineplastics.com/product_line/rounds/,1,"

                                            ",18,"5 ,⁄,5 ,⁄,2 ,⁄,14.6 X 14.6 X 5.6",17.8 X 17.8 X 6.2,,,150,11.8,"Cookies & Donuts,Produce,Salads & Sandwiches,Snacks","C-Store,Food Service,Processor,Supermarket",Tamper Evident
TS1SW,"A large family of industry standard sized items ranging from 6 oz - 128 oz, great for a wide variety of applications. Available in vented and hangable options.",https://www.inlineplastics.com/product_line/rectangles/,1,"

                                            ",17.2,"6 ,⁄,3,3 ,⁄,15.6 X 7.6 X 9.0",18.6 X 10.5 X 9.2,,,288,17,"Cakes,Deli,Salads & Sandwiches","Bakery,C-Store,Food Service,Processor,Supermarket",Tamper Evident
,,,,,,,,,,,,,,
